rank,team,indice_final,games_played,wins_score,sos_nonconf,sos_conf,mov_capado,fcs_adjustment,contrib_wins,contrib_sos_nonconf,contrib_sos_conf,contrib_mov,contrib_fcs
63,Jacksonville State,-0.3689834737633961,1,-1.5,0.0,0.0,0.0,0.05,-0.23729479679793028,0.020264341585964272,-0.12622063659464378,-0.07573238195678626,0.05
64,Liberty,-0.3976599432598969,1,-1.345424489859009,0.018401846445356067,0.0,0.0,0.0,-0.2380072427739549,0.042906655066360086,-0.1265995972201888,-0.07595975833211327,0.0
65,West Virginia,-0.4017473840555266,1,0.8419931854354994,-0.0960746736021431,0.0,0.2916666666666667,0.0,-0.16412069843107843,-0.09794949547033882,-0.08729824384631832,-0.05237894630779099,0.0
66,Miami (OH),-0.45189582001533424,1,-1.5,0.0,0.0,0.0,0.0,-0.25507502983058655,0.020264341585964272,-0.13567820735669497,-0.08140692441401698,0.0
67,Western Kentucky,-0.4605496002041862,1,-1.5,0.0,0.0,0.0,0.0,-0.2597500605073227,0.020264341585964272,-0.1381649258017674,-0.08289895548106044,0.0
68,Marshall,-0.4672078379020261,1,-1.0,0.0,0.0,0.0,0.0,-0.263347039493512,0.020264341585964272,-0.14007821249654895,-0.08404692749792937,0.0
69,Oklahoma State,-0.5188420856280143,1,-1.5,-0.006173443026151832,0.0,0.0,0.0,-0.28713779919092886,0.012668308619024227,-0.15273287191006854,-0.09163972314604112,0.0
70,Arkansas State,-0.7042708012229515,1,-1.4693256092809912,0.0036517131808343787,0.0,0.0,0.0,-0.39384289954592183,0.024757544745031574,-0.20949090401378823,-0.12569454240827294,0.0
71,Troy,-0.7347367534133756,1,0.6415211196879544,-0.17963280014859315,0.0,0.125,0.0,-0.28846884446166987,-0.20076250940985912,-0.1534408747136542,-0.09206452482819251,0.0
72,Nevada,-0.7383418179314677,1,1.0376235295524712,-0.05351260497501369,0.0,1.0,0.0,-0.37425088053332506,-0.04557954971020634,-0.19906961730496014,-0.11944177038297608,0.0
73,Florida International,-0.7563660075304772,1,-1.3904027794522449,0.013047288160447026,0.0,0.0,0.0,-0.42823170276011235,0.036318208216964847,-0.22778282061708105,-0.13666969237024862,0.0
74,Oregon State,-0.7656570025027218,1,-0.9208753092922584,0.009419606036635908,0.0,0.0,0.0,-0.4308395871767273,0.03185457376058191,-0.2291699931791103,-0.13750199590746617,0.0
75,Tulsa,-0.7884097502940537,1,1.006080751503997,-0.038771070712382456,0.0,0.5833333333333334,0.0,-0.4110980497426747,-0.027441019919315385,-0.21866917539503974,-0.13120150523702384,0.0
76,Wyoming,-0.8478934803078239,1,-1.5,-0.0015352786550891003,0.0,0.0,0.0,-0.46798427165453943,0.018375277861217204,-0.24892780407156354,-0.14935668244293812,0.0
77,Sacramento State,-0.8486181315937442,1,-1.5,0.0,-0.09814004084042913,0.0,0.05,-0.4964077728671989,0.020264341585964272,-0.2640466876953186,-0.15842801261719114,0.05
78,Florida Atlantic,-0.8710551800301266,1,-1.5,0.0,0.0,0.0,0.0,-0.4815174427121411,0.020264341585964272,-0.25612629931496866,-0.15367577958898118,0.0
79,Missouri State,-0.8772753201932622,1,-1.0,0.0,0.0,0.0,0.0,-0.4848777483175131,0.020264341585964272,-0.25791369591357083,-0.1547482175481425,0.0
80,Central Michigan,-0.9343641919420484,1,-1.5,0.0,0.0,0.0,0.0,-0.5157188629404207,0.020264341585964272,-0.27431854411724504,-0.16459112647034702,0.0
81,Coastal Carolina,-0.9529465858608913,1,-1.5,-0.0006735638426819343,0.0,0.0,0.0,-0.52530989688099,0.01943556368477093,-0.2794201579154202,-0.1676520947492521,0.0
82,Colorado State,-1.0119473674663555,1,0.9375010632448969,-0.09523758893100145,0.0,0.9166666666666666,0.0,-0.49432539130032027,-0.09691951548491153,-0.2629390379257023,-0.15776342275542135,0.0
83,New Mexico State,-1.0493238572760788,1,-1.4380060366262302,0.007380233734972589,0.0,0.0,0.05,-0.6097407845449653,0.029345254541197248,-0.3243302045451943,-0.19459812272711657,0.05
84,Eastern Michigan,-1.0608073906785953,2,-0.3934331711403967,-0.013808041453911837,-0.6853878076026451,0.4583333333333333,0.0,-0.5748487920726578,0.003274415923984179,-0.305770634081201,-0.18346238044872057,0.0
85,UAB,-1.0681667232546945,1,-1.4489920237578935,0.006072378124060292,0.0,0.0,0.0,-0.5920394133218703,0.02773602055387398,-0.31491458155418633,-0.1889487489325118,0.0
86,San José State,-1.1081733925805917,2,0.06004103168444774,-0.07496580692962687,0.0,0.25,0.0,-0.5597846016291597,-0.07197636403299822,-0.2977577668240211,-0.17865466009441267,0.0
87,Northern Illinois,-1.1211772836291785,1,-1.0,0.0,0.0,0.0,0.0,-0.6166408779897897,0.020264341585964272,-0.3280004670158456,-0.19680028020950738,0.0
88,UTEP,-1.2918406479953615,1,-1.0,0.0,0.0,0.0,0.0,-0.7088383277048541,0.020264341585964272,-0.37704166367279474,-0.22622499820367684,0.0
89,Akron,-1.292490033928118,1,-1.4889617334976792,0.001314079345514372,0.0,0.0,0.0,-0.710062638718443,0.02188123348687232,-0.37769289293534203,-0.2266157357612052,0.0
90,Kent State,-1.536218626221802,1,-1.5,0.0,0.0,0.0,0.0,-0.8408586147927013,0.020264341585964272,-0.4472652206344156,-0.26835913238064935,0.0
91,Ball State,-1.538209993554975,1,-1.0,0.0,0.0,0.0,0.0,-0.8419344109382084,0.020264341585964272,-0.44783745262670666,-0.268702471576024,0.0
92,Sam Houston,-1.5967251258827988,1,-1.5,-0.008441347995599998,0.0,0.0,0.0,-0.867934910925083,0.009877794340227394,-0.4616675058112144,-0.2770005034867286,0.0
93,UL Monroe,-1.6953152917297984,1,-1.5,0.0,0.0,0.0,0.0,-0.926807388113113,0.020264341585964272,-0.4929826532516559,-0.2957895919509935,0.0
94,Massachusetts,-2.048601767913106,1,1.2600164981364947,0.004769761017378429,0.0,0.6666666666666666,0.0,-1.1208338506445636,0.026133232216192785,-0.5961882184279594,-0.35771293105677565,0.0
