rank,team,record,indice_final,games_played,wins_score,sos_nonconf,sos_conf,mov_capado,fcs_adjustment,contrib_wins,contrib_sos_nonconf,contrib_sos_conf,contrib_mov,contrib_fcs
128,Ball State,1-1,-1.2160691000661987,1,-1.0,0.0,0.0,0.0,0.05,-0.7136393164739417,0.018900259372756963,-0.3382024384080616,-0.23312760455695236,0.05
129,Massachusetts,2-0,-1.2599796242510168,1,1.226716777452612,-0.011087248832089539,0.0,0.6666666666666666,0.05,-0.6574191729870286,0.004939350574199134,-0.43269382879240387,-0.2248059730457836,0.05
130,Eastern Michigan,1-2,-1.2963969765915997,3,-0.7870810250683945,-0.011588539788720917,-0.9333102506839449,0.4583333333333333,0.0,-0.5131466295827826,0.004308132006539954,-0.6559798804084704,-0.1315785986068866,0.0
131,Kent State,1-1,-1.311868085914239,1,-1.5,0.0,0.0,0.0,0.05,-0.7895367823425724,0.018900259372756963,-0.3506408883951927,-0.24059067454923105,0.05
132,Sam Houston,0-2,-1.3253601551100398,2,-1.575,-0.016934929908711944,0.0,0.0,0.0,-0.7619157209408126,-0.002423967723257344,-0.331758953083659,-0.22926151336231082,0.0
133,UL Monroe,0-2,-1.5021099642090223,2,-1.5,-0.014454920249964443,0.0,0.0,0.0,-0.8554666777584288,0.0006988257839206844,-0.3857099817014993,-0.261632130533015,0.0
134,Utah State,0-2,-1.8201597671598437,1,-0.691096966448769,0.03677417066086085,0.0,0.0,-1.5,-0.21273014904180673,0.0652057811946319,-0.08901828612534593,-0.083617113187323,-1.5
135,Nevada,1-1,-1.8977108771341806,1,0.9720515021705612,-0.0847373799187804,0.0,1.0,-1.5,-0.1443430276596426,-0.08779986531921181,-0.14555408828492,-0.020013895870406213,-1.5
136,Bowling Green,0-2,-2.4339762305108428,1,-1.5,0.0,0.0,0.0,-1.5,-0.5583768144809674,0.018900259372756963,-0.22768345868157308,-0.16681621672105928,-1.5
137,Northern Illinois,0-2,-2.530359703058636,1,-1.0,0.0,0.0,0.0,-1.5,-0.5863020560215801,0.018900259372756963,-0.2704698530610607,-0.19248805334875185,-1.5
138,Charlotte,0-2,-2.7841723194188086,1,-1.0,0.0,0.0,0.0,-1.5,-0.7234192165839723,0.018900259372756963,-0.34340451293467356,-0.23624884927291956,-1.5
